"filename", "language", "JSON", "C++", "YAML", "Dart", "Markdown", "Swift", "HTML", "Gradle", "Java Properties", "XML", "comment", "blank", "total"
"c:\Users\h\Downloads\App\wms_android\lib\login.dart", "Dart", 0, 0, 0, 264, 0, 0, 0, 0, 0, 0, 3, 15, 282
"c:\Users\h\Downloads\App\wms_android\lib\main.dart", "Dart", 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 1, 22, 234
"c:\Users\h\Downloads\App\wms_android\lib\test_menu.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 12, 173
"c:\Users\h\Downloads\App\wms_android\lib\test_menu_lv2.dart", "Dart", 0, 0, 0, 242, 0, 0, 0, 0, 0, 0, 8, 18, 268
"c:\Users\h\Downloads\App\wms_android\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\h\Downloads\App\wms_android\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\h\Downloads\App\wms_android\linux\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\h\Downloads\App\wms_android\linux\my_application.cc", "C++", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"c:\Users\h\Downloads\App\wms_android\linux\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\h\Downloads\App\wms_android\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 4, 15
"c:\Users\h\Downloads\App\wms_android\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\h\Downloads\App\wms_android\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\h\Downloads\App\wms_android\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\h\Downloads\App\wms_android\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 1, 344
"c:\Users\h\Downloads\App\wms_android\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\h\Downloads\App\wms_android\pubspec.yaml", "YAML", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\h\Downloads\App\wms_android\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\h\Downloads\App\wms_android\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 15, 5, 39
"c:\Users\h\Downloads\App\wms_android\web\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\h\Downloads\App\wms_android\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\h\Downloads\App\wms_android\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\h\Downloads\App\wms_android\windows\runner\flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\h\Downloads\App\wms_android\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\h\Downloads\App\wms_android\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\h\Downloads\App\wms_android\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\h\Downloads\App\wms_android\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\h\Downloads\App\wms_android\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\h\Downloads\App\wms_android\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\h\Downloads\App\wms_android\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 248, 546, 29, 13241, 13, 54, 19, 81, 10, 475, 4750, 1397, 20863
